Precinct,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
1,40656.58021,42114.04434,43571.50847,45028.9726,46486.43673,47943.90086,49401.36499,50858.82912,52316.29325,53773.75739,55231.22152,58125.55034,60674.81942,65423.72092,67423.41582,69133.04226
5,56564.13737,56503.72213,56443.30689,56382.89166,56322.47642,56262.06118,56201.64595,56141.23071,56080.81547,56020.40024,55959.985,52814.5744,51907.01087,51363.52934,50240.50996,50759.99546
6,63113.05548,62984.2535,62855.45153,62726.64956,62597.84758,62469.04561,62340.24364,62211.44166,62082.63969,61953.83772,61825.03574,61663.38634,61301.05579,60298.62635,61204.61014,60487.7699
7,59795.81766,59684.58554,59573.35342,59462.1213,59350.88918,59239.65706,59128.42495,59017.19283,58905.96071,58794.72859,58683.49647,56937.94193,56569.6173,57837.99907,56923.65383,57806.4132
9,71548.3012,71655.26166,71762.22212,71869.18258,71976.14304,72083.1035,72190.06397,72297.02443,72403.98489,72510.94535,72617.90581,74996.51058,76918.98426,77700.4214,77373.50866,76738.9227
10,37243.70962,37834.61187,38425.51413,39016.41639,39607.31865,40198.22091,40789.12317,41380.02543,41970.92768,42561.82994,43152.7322,44961.79023,45419.85487,48323.42465,51212.03366,52702.44389
13,85100.18669,86026.07543,86951.96416,87877.8529,88803.74163,89729.63037,90655.5191,91581.40784,92507.29657,93433.18531,94359.07404,93467.40519,93586.62925,96029.81864,94588.83032,94685.02991
14,21283.1173,21523.66173,21764.20615,22004.75058,22245.29501,22485.83944,22726.38387,22966.9283,23207.47273,23448.01716,23688.56159,23863.60604,24171.61565,24255.24641,24281.33007,24355.83968
17,71888.36631,71811.96127,71735.55623,71659.1512,71582.74616,71506.34112,71429.93608,71353.53104,71277.12601,71200.72097,71124.31593,70728.26595,71061.73512,70394.29488,70575.84734,72011.48159
18,52887.53202,53218.47975,53549.42748,53880.37521,54211.32294,54542.27067,54873.2184,55204.16613,55535.11386,55866.06159,56197.00932,56351.12433,55660.54431,54231.10109,54840.26776,55655.26535
19,207534.4817,207349.0082,207163.5347,206978.0612,206792.5877,206607.1143,206421.6408,206236.1673,206050.6938,205865.2203,205679.7469,204353.7378,205104.6639,203197.2194,206861.718,208416.6866
20,97783.64543,98233.50013,98683.35482,99133.20952,99583.06421,100032.9189,100482.7736,100932.6283,101382.483,101832.3377,102282.1924,100884.9796,100711.0438,100846.6539,100425.6522,99768.33179
22,22.975063,22.5987485,22.222434,21.8461195,21.469805,21.0934905,20.717176,20.3408615,19.964547,19.5882325,19.211918,19.224161,7.231596,8.374745,9.525082,10.462729
23,71543.46134,71951.4297,72359.39806,72767.36642,73175.33478,73583.30314,73991.2715,74399.23986,74807.20822,75215.17658,75623.14494,74725.46719,75363.12205,73737.56912,73873.26284,74454.92875
24,109084.9888,108988.8374,108892.686,108796.5345,108700.3831,108604.2317,108508.0802,108411.9288,108315.7773,108219.6259,108123.4745,108027.4653,108340.3686,109052.0783,109532.1779,107939.1165
25,46154.76289,46590.3473,47025.93172,47461.51614,47897.10055,48332.68497,48768.26938,49203.8538,49639.43821,50075.02263,50510.60705,49952.27593,49269.53677,48306.05271,49953.27058,50389.40939
26,49006.69441,48715.85382,48425.01323,48134.17264,47843.33204,47552.49145,47261.65086,46970.81027,46679.96968,46389.12908,46098.28849,48525.04908,49371.82086,50487.20474,49931.17572,50724.83388
28,41237.74247,41766.70449,42295.6665,42824.62852,43353.59054,43882.55256,44411.51457,44940.47659,45469.43861,45998.40062,46527.36264,47630.63843,49420.09098,50994.07716,51677.75629,52222.68376
30,63043.34038,62850.84064,62658.3409,62465.84115,62273.34141,62080.84167,61888.34193,61695.84218,61503.34244,61310.8427,61118.34295,62818.85956,63510.48416,62797.65671,63135.33137,63531.88731
32,65139.62988,65779.17052,66418.71116,67058.2518,67697.79244,68337.33308,68976.87372,69616.41436,70255.955,70895.49564,71535.03627,72155.66959,72900.31889,74038.96036,75415.86127,76878.48071
33,86644.17714,86397.44725,86150.71736,85903.98747,85657.25758,85410.52769,85163.7978,84917.06791,84670.33802,84423.60813,84176.87824,84851.3836,83447.38705,82076.29043,82827.48645,84990.33704
34,122425.5895,122030.8469,121636.1043,121241.3616,120846.619,120451.8764,120057.1338,119662.3911,119267.6485,118872.9059,118478.1632,118372.4223,117946.7882,120006.7279,122209.2451,122196.33
40,82359.59018,82969.77072,83579.95126,84190.1318,84800.31234,85410.49288,86020.67342,86630.85396,87241.0345,87851.21504,88461.39558,90270.28788,91808.54569,92999.75669,95336.92831,96988.75352
41,47864.2276,48457.41034,49050.59309,49643.77583,50236.95857,50830.14132,51423.32406,52016.50681,52609.68955,53202.8723,53796.05504,53858.99803,53617.32351,54946.42714,54917.66836,55330.17327
42,69024.30389,69293.95549,69563.60709,69833.25868,70102.91028,70372.56187,70642.21347,70911.86506,71181.51666,71451.16825,71720.81985,74842.97082,78595.02931,78836.78103,82488.20197,84148.95766
43,166437.5379,166630.918,166824.298,167017.6781,167211.0582,167404.4383,167597.8183,167791.1984,167984.5785,168177.9586,168371.3387,169066.8164,172766.8477,173832.2314,176086.0346,176324.4673
44,139239.0668,139542.9713,139846.8757,140150.7801,140454.6845,140758.5889,141062.4933,141366.3977,141670.3022,141974.2066,142278.111,145331.3081,146280.6245,145907.6001,147737.3223,147764.0408
45,114189.4722,114592.6265,114995.7808,115398.935,115802.0893,116205.2436,116608.3979,117011.5522,117414.7064,117817.8607,118221.015,120878.3612,121386.7194,125536.3121,128042.6913,127321.428
46,124175.9087,124371.6532,124567.3977,124763.1422,124958.8868,125154.6313,125350.3758,125546.1203,125741.8648,125937.6093,126133.3538,123296.5333,123267.4796,124477.0312,123620.0672,126510.6334
47,150689.8266,151540.3324,152390.8382,153241.344,154091.8498,154942.3555,155792.8613,156643.3671,157493.8729,158344.3786,159194.8844,159603.7967,159643.1917,159432.114,158435.2256,160898.0896
48,78839.74492,79101.17791,79362.61091,79624.04391,79885.47691,80146.90991,80408.34291,80669.77591,80931.20891,81192.64191,81454.07491,82040.95361,81478.38032,83261.24715,85405.8412,87420.11574
49,112008.0244,112392.8196,112777.6148,113162.4101,113547.2053,113932.0005,114316.7958,114701.591,115086.3862,115471.1815,115855.9767,117598.1666,119192.1311,119803.2695,121746.879,122420.4721
50,101400.567,101489.6853,101578.8036,101667.9218,101757.0401,101846.1584,101935.2766,102024.3949,102113.5131,102202.6314,102291.7497,100602.488,100944.2292,101870.3457,103051.9673,103743.172
52,141429.7357,140765.4373,140101.1389,139436.8405,138772.5421,138108.2437,137443.9453,136779.6469,136115.3485,135451.0501,134786.7517,135348.7102,137274.737,136427.1423,137640.8049,141128.3956
60,105870.0888,104801.9479,103733.807,102665.6661,101597.5252,100529.3843,99461.24339,98393.10248,97324.96158,96256.82068,95188.67978,94709.32813,94599.74137,94193.90131,95241.15858,96564.88874
61,161824.1888,160738.8721,159653.5555,158568.2388,157482.9221,156397.6054,155312.2887,154226.972,153141.6553,152056.3386,150971.0219,151644.8937,155780.9607,159471.7445,160864.8499,163155.1263
62,171710.1937,171506.3253,171302.4569,171098.5885,170894.7201,170690.8517,170486.9833,170283.1149,170079.2464,169875.378,169671.5096,172465.7877,177465.0611,178796.6565,185073.7227,189657.1079
63,107632.8953,108516.7222,109400.549,110284.3758,111168.2026,112052.0294,112935.8563,113819.6831,114703.5099,115587.3367,116471.1635,116700.1417,117400.3073,116897.8978,118915.4783,118697.6291
66,185866.5513,186158.8696,186451.1879,186743.5062,187035.8244,187328.1427,187620.461,187912.7793,188205.0976,188497.4159,188789.7341,191412.7021,189860.3837,191896.3415,195429.1393,194089.7989
67,162939.9037,162079.1776,161218.4516,160357.7255,159496.9995,158636.2734,157775.5474,156914.8213,156054.0953,155193.3692,154332.6432,154749.2494,155308.5113,154868.7155,153231.4607,153578.6536
68,122903.412,123343.753,123784.0941,124224.4351,124664.7761,125105.1171,125545.4582,125985.7992,126426.1402,126866.4813,127306.8223,130635.8932,132485.1655,134552.1847,134725.1777,133325.6674
69,86569.08497,86391.55362,86214.02227,86036.49091,85858.95956,85681.42821,85503.89686,85326.36551,85148.83415,84971.3028,84793.77145,85758.24906,87834.8264,88209.71091,89189.54104,89128.23031
70,168948.8165,168056.6823,167164.5481,166272.4138,165380.2796,164488.1453,163596.0111,162703.8768,161811.7426,160919.6083,160027.4741,160805.4597,158778.5411,157959.3665,159735.5012,162321.5713
71,104265.815,103789.9697,103314.1244,102838.2791,102362.4338,101886.5885,101410.7432,100934.8979,100459.0526,99983.20733,99507.36203,101351.7478,102271.8687,101808.0863,102104.977,103516.495
72,120033.0167,120839.9187,121646.8207,122453.7227,123260.6247,124067.5267,124874.4287,125681.3307,126488.2327,127295.1347,128102.0367,126241.7591,128718.9627,130670.5578,131150.6716,132600.6965
73,85654.9458,85155.92629,84656.90678,84157.88728,83658.86777,83159.84826,82660.82875,82161.80925,81662.78974,81163.77023,80664.75073,82478.62393,84363.38513,86962.70106,90439.54075,92044.48481
75,172954.8203,173732.4726,174510.125,175287.7773,176065.4296,176843.082,177620.7343,178398.3866,179176.039,179953.6913,180731.3437,177853.3001,180334.5262,180149.3763,179946.3473,182734.1748
76,43361.82821,43598.79684,43835.76547,44072.7341,44309.70273,44546.67135,44783.63998,45020.60861,45257.57724,45494.54587,45731.5145,45425.02687,44657.19187,44808.07486,45703.47245,46284.72115
77,90832.32101,90676.48461,90520.6482,90364.81179,90208.97538,90053.13898,89897.30257,89741.46616,89585.62976,89429.79335,89273.95694,89688.7871,89062.2269,90549.13375,91119.84331,91841.02775
78,67025.85893,67465.90063,67905.94233,68345.98403,68786.02573,69226.06743,69666.10913,70106.15083,70546.19253,70986.23423,71426.27593,72482.13208,72727.31595,73244.60742,73714.12908,74446.29529
79,83416.68852,83794.60633,84172.52414,84550.44195,84928.35977,85306.27758,85684.19539,86062.1132,86440.03101,86817.94882,87195.86663,85890.31538,88845.46427,89538.60454,90696.11235,92032.51355
81,60562.39391,60517.48624,60472.57858,60427.67091,60382.76325,60337.85559,60292.94792,60248.04026,60203.13259,60158.22493,60113.31726,61377.0147,62741.00245,63867.05622,65836.39277,66447.07891
83,104349.3619,105114.8935,105880.4252,106645.9568,107411.4884,108177.02,108942.5516,109708.0832,110473.6148,111239.1465,112004.6781,113999.558,116414.0192,120788.6538,121269.3912,119904.9558
84,45153.74195,45595.71881,46037.69568,46479.67255,46921.64942,47363.62629,47805.60316,48247.58002,48689.55689,49131.53376,49573.51063,51208.39895,52004.10473,54397.76871,55661.97145,57408.43763
88,53278.55259,52980.954,52683.35541,52385.75682,52088.15823,51790.55964,51492.96105,51195.36246,50897.76387,50600.16528,50302.56669,51758.40349,53145.86426,54057.04125,55678.67949,56248.55907
90,105029.6749,106175.0669,107320.4589,108465.8509,109611.2429,110756.6349,111902.0269,113047.4189,114192.8109,115338.2028,116483.5948,118232.5811,117428.9508,119480.6882,120761.4846,123185.209
94,55456.55387,54898.63462,54340.71537,53782.79612,53224.87687,52666.95762,52109.03837,51551.11912,50993.19987,50435.28062,49877.36137,51158.14601,52507.54526,54789.25858,56628.09415,58417.85582
100,43586.49415,43858.86257,44131.231,44403.59942,44675.96785,44948.33627,45220.7047,45493.07312,45765.44155,46037.80997,46310.1784,47602.42906,47884.99915,48722.38867,48370.59103,47682.38968
101,63148.35216,63325.6171,63502.88204,63680.14697,63857.41191,64034.67684,64211.94178,64389.20671,64566.47165,64743.73659,64921.00152,65420.38037,67463.68594,67322.25037,69096.03315,71231.30422
102,143066.5691,142958.0104,142849.4517,142740.893,142632.3343,142523.7755,142415.2168,142306.6581,142198.0994,142089.5407,141980.982,145318.1783,148778.178,150326.1218,149838.4489,154480.3957
103,100265.5857,99900.90642,99536.22712,99171.54781,98806.8685,98442.18919,98077.50989,97712.83058,97348.15127,96983.47197,96618.79266,100219.2338,101257.9592,104817.4427,110388.6963,107932.9377
104,167489.123,167612.5028,167735.8827,167859.2625,167982.6424,168106.0222,168229.4021,168352.7819,168476.1618,168599.5416,168722.9215,169189.3903,168970.0713,169014.2658,168146.1007,170936.5419
105,194445.8082,194772.1552,195098.5023,195424.8493,195751.1963,196077.5434,196403.8904,196730.2375,197056.5845,197382.9316,197709.2786,198565.8949,197539.4763,199439.1194,198135.3009,197633.0048
106,124951.4149,125023.803,125096.1912,125168.5794,125240.9676,125313.3557,125385.7439,125458.1321,125530.5202,125602.9084,125675.2966,127817.3067,129653.5794,130807.5473,133389.5366,135027.8077
107,146471.0058,146529.0429,146587.08,146645.1171,146703.1542,146761.1913,146819.2284,146877.2655,146935.3027,146993.3398,147051.3769,148571.4111,150390.1015,153013.3298,154652.5791,158724.3842
108,112333.3668,112203.2634,112073.16,111943.0565,111812.9531,111682.8497,111552.7462,111422.6428,111292.5394,111162.4359,111032.3325,111115.0831,112171.1028,112160.9895,117046.1313,120109.655
109,242798.3019,242782.0536,242765.8052,242749.5568,242733.3085,242717.0601,242700.8118,242684.5634,242668.3151,242652.0667,242635.8183,242599.2246,247837.8178,247546.991,248520.8153,248636.8312
110,168110.988,167505.9843,166900.9807,166295.9771,165690.9735,165085.9698,164480.9662,163875.9626,163270.959,162665.9553,162060.9517,163687.4902,164239.767,168041.8445,170411.8111,169406.2315
111,118875.1007,118640.5821,118406.0634,118171.5448,117937.0262,117702.5076,117467.9889,117233.4703,116998.9517,116764.4331,116529.9144,118389.3866,120187.8151,120385.4304,121416.2613,121074.1543
112,111834.1534,111913.6783,111993.2032,112072.7281,112152.253,112231.7778,112311.3027,112390.8276,112470.3525,112549.8774,112629.4023,112296.3041,112470.1629,112517.8464,112043.969,114779.5863
113,124988.2543,124792.2597,124596.2651,124400.2706,124204.276,124008.2814,123812.2868,123616.2922,123420.2976,123224.303,123028.3084,124417.7249,125315.7993,128833.1781,132793.1289,133939.4682
114,219523.6526,217469.1921,215414.7316,213360.2711,211305.8106,209251.3501,207196.8896,205142.4291,203087.9686,201033.5081,198979.0476,195382.3416,196354.8658,196412.8519,198374.1945,198537.7869
115,169450.156,168983.6914,168517.2269,168050.7623,167584.2977,167117.8331,166651.3685,166184.9039,165718.4394,165251.9748,164785.5102,165132.9815,166440.2003,168480.5441,168370.5508,170406.0613
120,164537.4885,165074.2486,165611.0087,166147.7688,166684.5289,167221.2889,167758.049,168294.8091,168831.5692,169368.3293,169905.0894,173572.9658,173378.66,174318.9308,113665.2745,112500.5004
121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,118002.5734,118479.27
122,189471.1643,190130.4348,190789.7052,191448.9757,192108.2461,192767.5166,193426.787,194086.0575,194745.328,195404.5984,196063.8689,194853.0577,195915.6677,196247.7172,138616.5357,139444.7283
123,89588.84942,90333.03255,91077.21569,91821.39882,92565.58196,93309.7651,94053.94823,94798.13137,95542.3145,96286.49764,97030.68078,97150.1228,98622.06155,99177.92128,101217.5958,102036.4381