"","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","M16","M17","M18","M19","M20","M21","M22","M23","M24","M25","M26","M27","M28","M29","M30","M31","M32","M33","M34","M35","M36","M37","M38","M39","M40","M41","M42","M43","M44","M45","M46","M47","M48","M49","M50","M51","M52","M53","M54","M55","M56","M57","M58","M59","M60","M61","M62","M63","M64"
"2003",122,154,157,128,157,98,92,100,64,61,60,54,53,48,52,28,64,50,45,59,40,47,54,40,67,38,45,36,24,39,26,19,17,16,10,13,17,4,10,3,7,5,4,3,4,5,1,4,0,1873,2318,2751,2597,3057,2261,2325,2155,1525,1601,1188,1090,940,832,984,678,762,736,561,676,529,526,443,488,516,378,447,408,268,306,237,227,190,184,188,115,152,116,91,121,65,56,59,42,45,31,42,18,18
"2004",254,275,326,296,291,257,213,225,205,177,138,121,114,119,118,72,103,121,167,130,96,101,119,124,142,88,76,75,90,68,53,48,47,33,45,26,20,29,26,19,24,17,12,3,8,7,5,3,8,3272,4119,4832,4993,5023,4062,3864,4090,3665,3013,2421,2195,2004,1847,1959,1355,1346,1442,1537,1335,1165,1115,1102,991,1118,882,863,895,839,634,531,480,458,482,438,308,320,302,317,232,220,167,123,122,109,65,81,84,67
"2005",341,371,421,369,407,305,263,229,251,247,179,158,163,152,205,112,147,154,168,223,141,128,121,147,180,122,117,113,95,107,79,82,53,62,70,42,44,32,30,30,30,15,16,7,11,7,5,8,6,4522,5626,6017,6296,6333,4948,4851,4392,4585,4526,3199,2725,2552,2419,2536,1715,1821,1660,1868,2048,1587,1403,1376,1304,1497,1097,1055,1030,1111,1108,729,717,636,602,583,393,398,388,387,393,259,242,194,163,163,101,99,89,122
"2006",491,537,543,496,517,367,337,305,315,362,311,212,207,225,258,186,170,153,183,212,187,190,187,203,198,156,178,149,125,172,144,95,105,99,80,52,50,48,43,40,41,22,12,24,14,13,4,7,11,6288,7461,8324,8179,8836,7028,6220,5774,5519,6140,5223,3946,3603,3238,3696,2553,2336,2250,2266,2593,2304,1993,1881,1902,2065,1678,1632,1396,1294,1493,1272,1000,992,871,833,680,621,486,486,455,442,317,282,249,218,166,155,123,99
"2007",435,546,510,505,511,386,365,319,333,332,299,281,229,201,245,193,163,151,147,166,178,186,184,174,196,164,192,189,143,147,104,140,92,80,87,67,44,48,36,31,36,27,21,16,22,9,7,3,9,5632,7346,7534,8192,7780,6606,6279,5368,5198,5209,5125,4755,3678,3388,3733,2665,2493,2126,2109,2155,2225,2142,1693,1910,1836,1646,1698,1549,1333,1329,1306,1156,910,931,832,701,663,557,493,447,446,401,260,274,218,153,168,106,90
"2008",558,635,692,625,610,463,477,335,358,387,304,314,315,275,271,208,247,198,208,224,182,201,191,171,223,178,189,188,127,169,147,138,115,93,105,72,67,50,49,45,37,36,44,22,21,10,12,14,8,6287,8689,9511,9512,9749,7983,7468,6852,5949,6173,5369,5550,5080,4160,4397,3275,3054,2608,2354,2559,2239,2440,2367,2045,2279,1770,1937,1770,1657,1529,1307,1391,1305,1095,1008,779,744,667,658,532,425,477,402,280,261,208,192,141,136
"2009",549,608,710,693,632,537,443,385,377,343,304,304,312,307,267,208,222,188,213,166,151,169,176,198,194,162,162,165,157,164,112,138,114,117,97,62,55,70,61,50,43,28,25,39,22,13,11,6,7,6782,8639,10642,10831,10270,9127,7912,7268,6931,6500,5762,5299,5429,5148,4458,3726,3425,2977,2690,2725,2373,2163,2363,2437,2231,2000,1774,1876,1593,1686,1419,1310,1353,1178,1057,831,825,767,650,601,478,386,380,383,294,218,190,166,148
"2010",600,667,684,712,703,623,522,441,348,399,289,320,316,326,312,209,221,197,191,205,173,164,159,181,215,167,174,141,161,162,161,122,126,107,104,92,73,65,57,46,41,37,21,31,35,18,9,18,10,7085,9187,10267,11059,10918,9546,8756,7404,6980,6912,5816,5498,5236,5246,5311,3888,3784,3326,2904,2921,2483,2355,2321,2380,2454,2091,2083,1841,1738,1804,1581,1531,1387,1277,1247,964,904,822,729,679,567,521,438,442,342,258,225,206,153
"2011",783,840,840,754,817,732,626,536,482,461,389,346,322,311,293,296,260,225,239,248,192,179,213,169,229,168,177,161,150,182,154,152,120,123,111,104,84,62,78,65,57,34,30,28,27,26,16,17,8,9183,10924,12066,12123,13003,12518,9971,9224,8099,7704,7169,6079,5961,5518,5890,5211,4609,3958,3627,3348,3006,2716,2727,2541,2725,2597,2330,2226,1912,2081,1869,1728,1620,1485,1499,1348,1128,1025,854,776,690,562,465,426,414,345,285,213,175
"2012",644,658,658,575,596,553,502,451,381,362,299,309,244,243,227,255,226,181,169,162,143,138,130,137,183,156,158,110,129,121,115,109,100,109,84,65,71,55,46,44,35,35,29,28,29,18,24,5,13,6530,7897,8427,8653,8769,8633,8253,6684,6093,5539,5039,4568,4147,4063,3931,3618,3750,2984,2894,2735,2282,2067,1919,2011,1975,1830,1892,1664,1563,1574,1461,1370,1220,1190,1133,975,982,775,737,640,599,490,356,347,322,283,265,182,129
"2013",145,191,244,207,217,180,192,145,119,135,107,104,96,92,87,72,84,62,68,68,41,50,44,58,51,29,49,46,28,35,37,37,38,32,39,22,27,13,15,16,13,12,9,5,9,5,10,3,3,1778,2258,2732,2772,2904,2584,2876,2492,2165,2029,1645,1622,1491,1417,1373,1186,1318,1073,1081,929,814,777,676,663,702,574,654,612,476,525,493,430,447,413,369,317,350,297,238,226,188,179,121,132,107,65,88,65,32
"2014",39,42,55,47,36,34,31,40,31,27,22,20,18,23,17,21,17,8,18,18,14,17,10,7,12,5,6,16,11,6,8,11,8,11,7,4,2,8,1,1,7,4,2,4,1,1,0,0,0,395,488,591,704,729,654,580,575,560,483,376,384,304,302,290,263,251,240,248,226,210,183,183,160,134,110,136,130,126,130,126,97,98,93,79,70,87,63,50,46,41,27,26,26,19,15,23,10,5
"2015",22,30,30,26,17,27,21,15,17,13,12,12,10,10,7,8,6,8,8,8,12,10,3,4,4,4,6,5,2,8,4,6,3,4,3,7,2,2,3,0,1,2,1,1,0,0,1,0,0,250,278,314,370,392,368,331,277,262,268,199,184,154,133,163,121,105,111,125,107,98,91,78,90,74,64,64,53,49,47,62,54,46,52,43,42,34,29,18,26,23,17,10,17,8,6,1,4,4
"2016",17,15,19,20,11,8,9,9,14,11,8,7,6,6,7,5,6,7,7,7,5,6,2,0,3,2,4,1,6,4,2,0,1,3,2,2,1,0,0,2,0,1,0,1,0,0,1,0,0,146,167,156,158,211,156,145,153,148,138,115,81,91,83,83,70,60,80,65,77,68,51,52,59,55,33,42,36,35,33,36,28,28,27,31,20,23,18,20,12,12,15,11,8,4,4,8,1,8
